DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
4/2/2023,1.43981681,17270.60966,302.5607523,0.558211051,1790790.178,4.837629903,26465.865,30991.92976,18808.91999,20809.11713,5.615826288,5.1,20235.878,6.457035665,0.420093963,3.6,12197.67295,4107.774983,615668.3102
4/9/2023,1.43981681,17263.79134,302.4424305,0.558211051,1757780.614,4.84131661,26465.865,30997.0399,18738.4769,20815.78196,5.661826212,5.1,20235.878,6.462251342,0.426112831,3.6,12248.04699,4121.932114,606328.7759
4/16/2023,1.43981681,17253.07603,302.5072557,0.558211051,1755153.147,4.877284147,26465.865,30997.61034,18646.02049,20754.51403,5.774576315,5.1,20235.878,6.475214394,0.435689539,3.6,12255.19989,4122.588848,605462.5926
4/23/2023,1.43981681,17248.08119,302.4960127,0.558211051,1740126.873,4.895496347,26465.865,30994.61566,18527.23988,20650.34504,6.220197302,5.1,20235.878,6.4707484,0.462388994,3.6,12204.84576,4114.314493,600980.0255
4/30/2023,1.43981681,17256.54986,303.3703338,0.558211051,1735318.254,4.922793147,26465.865,30989.0053,18406.66843,20608.14591,6.370451837,5.1,20235.878,6.473136766,0.473736571,3.6,12215.87919,4103.76794,599502.578
5/7/2023,1.43981681,17266.37578,303.3971149,0.558211051,1734379.367,4.941405506,26465.865,30980.44864,18305.05412,20619.45811,6.327897052,5.1,20235.878,6.475296007,0.473736571,3.6,12259.77696,4097.31103,599208.9971
5/14/2023,1.43981681,17277.06099,303.4681378,0.558211051,1746258.78,4.963391531,26465.865,30971.13048,18211.54581,20586.79026,6.341179657,5.1,20235.878,6.486899095,0.473736571,3.6,12233.76385,4092.742358,602458.317
5/21/2023,1.43981681,17288.97113,303.3347233,0.558211051,1744366.085,4.980846315,26465.865,30962.42493,18111.54401,20485.83863,6.346930705,5.1,20235.878,6.487176982,0.473736571,3.6,12201.29777,4090.492508,601739.6978
5/28/2023,1.43981681,17302.12395,304.0165947,0.558211051,1744401.599,4.999207758,26465.865,30955.04358,18004.93168,20415.3263,6.319142709,5.1,20235.878,6.489693523,0.473736571,3.6,12237.48522,4090.029179,601647.3938
6/4/2023,1.43981681,17315.50079,304.39743,0.558211051,1739876.383,5.014978719,26465.865,30949.19556,17897.28326,20416.95594,6.308955475,5.1,20235.878,6.489959446,0.473736571,3.6,12255.49727,4090.497238,600317.6218
