DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price
1/1/1983,5.5433895,1381.5345,97.9,0.204918033,4010000,11.2,3473.413,2474.362,482.9,1921.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,230.59,138.3
1/2/1983,5.5433895,1381.5345,97.9,0.204918033,4010000,11.2,3473.413,2474.362,482.9,1921.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,230.59,138.3
1/3/1983,5.5433895,1381.5345,97.9,0.204918033,4010000,9.19,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,230.59,138.3
1/4/1983,5.5433895,1381.5345,97.9,0.204918033,4010000,9.47,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,231.64,141.3
1/5/1983,5.5433895,1389.3978,97.9,0.204918033,4010000,8.46,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,232.73,142
1/6/1983,5.5433895,1389.3978,97.9,0.204918033,4010000,8.48,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,236.61,145.3
1/7/1983,5.5433895,1389.3978,97.9,0.204918033,4010000,8.27,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,238.6,145.2
1/8/1983,5.5433895,1389.3978,97.9,0.204918033,3885000,8.27,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,238.6,145.2
1/9/1983,5.5433895,1389.3978,97.9,0.204918033,3885000,8.27,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,238.6,145.2
1/10/1983,5.5433895,1389.3978,97.9,0.204918033,3885000,8.34,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,240.94,146.8
1/11/1983,5.5433895,1389.3978,97.9,0.204918033,3885000,8.47,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,240.85,145.8
1/12/1983,5.5433895,1390.4398,97.9,0.204918033,3885000,8.87,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,242.91,146.7
1/13/1983,5.5433895,1390.4398,97.9,0.204918033,3885000,8.64,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,243.48,145.7
1/14/1983,5.5433895,1390.4398,97.9,0.204918033,3885000,8.43,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.63,146.7
1/15/1983,5.5433895,1390.4398,97.9,0.204918033,3950000,8.43,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.63,146.7
1/16/1983,5.5433895,1390.4398,97.9,0.204918033,3950000,8.43,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.63,146.7
1/17/1983,5.5433895,1390.4398,97.9,0.204918033,3950000,8.54,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,247.14,146.7
1/18/1983,5.5433895,1390.4398,97.9,0.204918033,3950000,8.36,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,246.65,146.4
1/19/1983,5.5433895,1392.3926,97.9,0.204918033,3950000,8.59,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.2,145.3
