DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Delinquency Rate on Credit Card Loans,Commercial Real Estate Loans
1/1/1991,3.92293115,2677.9421,134.7,0.597907324,2938000,5.53,6035.178,4660.536,852.4,3291.6,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,373.84,330.2,5.26,63.6657
1/2/1991,3.92293115,2664.5009,134.7,0.597907324,2938000,7.85,6035.178,4660.536,852.4,3291.6,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,372.19,326.4,5.26,63.7268
1/3/1991,3.92293115,2664.5009,134.7,0.597907324,2938000,7.18,6035.178,4660.536,852.4,3291.6,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,367.51,321.9,5.26,63.7268
1/4/1991,3.92293115,2664.5009,134.7,0.597907324,2938000,6.52,6035.178,4660.536,852.4,3291.6,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,367.24,321,5.26,63.7268
1/5/1991,3.92293115,2664.5009,134.7,0.597907324,3062000,6.52,6035.178,4660.536,852.4,3291.6,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,367.24,321,5.26,63.7268
1/6/1991,3.92293115,2664.5009,134.7,0.597907324,3062000,6.52,6035.178,4660.536,852.4,3291.6,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,367.24,321,5.26,63.7268
1/7/1991,3.92293115,2664.5009,134.7,0.597907324,3062000,6.26,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,360.24,315.4,5.26,63.7268
1/8/1991,3.92293115,2664.5009,134.7,0.597907324,3062000,5.94,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,359,314.9,5.26,63.7268
1/9/1991,3.92293115,2668.0717,134.7,0.597907324,3062000,5.88,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,357.45,311.5,5.26,63.8071
1/10/1991,3.92293115,2668.0717,134.7,0.597907324,3062000,6.81,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,361.92,314.5,5.26,63.8071
1/11/1991,3.92293115,2668.0717,134.7,0.597907324,3062000,6.68,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,361.8,315.2,5.26,63.8071
1/12/1991,3.92293115,2668.0717,134.7,0.597907324,3111000,6.68,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,361.8,315.2,5.26,63.8071
1/13/1991,3.92293115,2668.0717,134.7,0.597907324,3111000,6.68,6035.178,4660.536,862.6,3309.9,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,361.8,315.2,5.26,63.8071
1/14/1991,3.92293115,2668.0717,134.7,0.597907324,3111000,6.83,6035.178,4660.536,840.6,3300.5,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,355.75,312.5,5.26,63.8071
1/15/1991,3.92293115,2668.0717,134.7,0.597907324,3111000,6.89,6035.178,4660.536,840.6,3300.5,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,357.3,313.7,5.26,63.8071
1/16/1991,3.92293115,2669.8142,134.7,0.597907324,3111000,6.81,6035.178,4660.536,840.6,3300.5,5.562784486,9.3,9275.276,5.839029006,0.66893,6.4,365.2,316.2,5.26,64.0982
