DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
4/2/2023,1.437243164,17279.72451,302.0317755,0.521570056,1802032.939,4.822845395,26495.75457,30987.1613,18876.25473,20814.23132,4.928852409,5.089766268,20253.60146,6.44907552,0.385450832,3.58991827,12203.13478,4096.109773,618917.7248
4/9/2023,1.44503696,17267.95471,302.200444,0.536244775,1701966.647,4.818050504,26511.04181,30994.34899,18887.69807,20794.26377,4.926282715,5.088829392,20255.53496,6.441730898,0.383837692,3.586309605,12195.84785,4088.199341,590559.941
4/16/2023,1.441428209,17254.01001,302.3788393,0.523285321,1750740.639,4.854176264,26523.08199,31007.2822,18886.09762,20775.49357,4.929539032,5.083480835,20251.96547,6.44147076,0.385368352,3.584203694,12185.29385,4088.598944,604337.7705
4/23/2023,1.439816822,17241.7881,302.5342962,0.559264967,1720615.27,4.848919671,26534.70527,31020.50658,18880.67539,20753.52608,4.907054528,5.1,20245.64059,6.440056883,0.383313675,3.599981731,12212.72946,4099.51275,595807.8743
4/30/2023,1.437243164,17228.03378,302.7047505,0.521570056,1713953.248,4.889633633,26563.32483,31024.78665,18877.30654,20744.74102,4.928852409,5.089766268,20263.57129,6.438302456,0.385450832,3.589918269,12208.22782,4096.243275,593913.6575
5/7/2023,1.44503696,17216.79331,302.869077,0.536244775,1614767.753,4.871481095,26577.88321,31031.59486,18888.73937,20725.49253,4.926282715,5.088829392,20265.39942,6.431548459,0.383837692,3.586309604,12200.79156,4088.331507,565805.8571
5/14/2023,1.441428209,17203.37252,303.0431584,0.523285321,1664413.734,4.896920736,26589.2024,31044.15243,18887.1285,20707.43396,4.929539032,5.083480835,20261.72567,6.431846565,0.385368352,3.584203693,12190.09261,4088.729789,579831.1743
5/21/2023,1.439816822,17191.66915,303.1943292,0.559264967,1635151.633,4.883115249,26600.11246,31057.00494,18881.69597,20686.17074,4.907054528,5.1,20255.29764,6.430960327,0.383313675,3.59998173,12217.38751,4099.642286,571546.2943
5/28/2023,1.437243164,17178.42806,303.360525,0.521570056,1629344.248,4.916990096,26628.02649,31060.91691,18878.31691,20678.08265,4.928852409,5.089766268,20273.12627,6.429704612,0.385450832,3.589918269,12212.74929,4096.371515,569894.6469
6/4/2023,1.44503696,17167.69557,303.5206205,0.536244775,1531004.843,4.893366265,26641.88696,31067.36072,18889.73964,20659.52392,4.926282715,5.088829392,20274.85341,6.423421985,0.383837692,3.586309603,12205.18046,4088.458465,542026.9929
6/11/2023,1.441428209,17154.77756,303.6904982,0.523285321,1581488.453,4.914428872,26652.51576,31079.55757,18888.11877,20642.14797,4.929539032,5.083480835,20271.07975,6.424165619,0.385368352,3.584203693,12194.35282,4088.855478,556290.0576
6/18/2023,1.439816822,17143.57181,303.8374924,0.559264967,1553055.606,4.897121758,26662.74289,31092.053,18882.67633,20621.56031,4.907054528,5.1,20264.55285,6.423700483,0.383313675,3.59998173,12221.52281,4099.766718,548240.5501
6/25/2023,1.437243164,17130.82326,303.9995385,0.521570056,1548069.18,4.928195303,26689.98135,31095.61148,18879.28747,20614.14079,4.928852409,5.089766268,20282.28367,6.422842783,0.385450832,3.589918268,12216.76335,4096.494703,546821.9235
