DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Economic Health Index
1/1/1983,5.5433895,1381.5345,97.9,0.204918033,4010000,11.2,3473.413,2474.362,482.9,1921.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,230.59,138.3,1148234.133
1/8/1983,5.5433895,1389.3978,97.9,0.204918033,3885000,8.27,3473.413,2474.362,493.2,1945.4,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,238.6,145.2,1112888.535
1/15/1983,5.5433895,1390.4398,97.9,0.204918033,3950000,8.43,3473.413,2474.362,497.7,1966.3,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,245.63,146.7,1131322.09
1/22/1983,5.5433895,1392.3926,97.9,0.204918033,3860000,8.28,3473.413,2474.362,486.9,1967.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,243.97,143.8,1105832.425
1/29/1983,5.5433895,1396.8702,97.9,0.204918033,3890000,8.39,3473.413,2474.362,472,1960.8,5.0146534,11.1,6896.561,4.695598354,0.5117,10.4,246.93,144.5,1114317.197
2/5/1983,5.86170487,1399.5273,98,0.102249489,3877000,8.46,3473.413,2474.362,467.5,1963.5,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,251.65,146.1,1110643.754
2/12/1983,5.86170487,1398.6385,98,0.102249489,3865000,8.53,3473.413,2474.362,477.9,1983.4,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,256.64,147.6,1107275.689
2/19/1983,5.86170487,1399.7989,98,0.102249489,3819000,8.42,3473.413,2474.362,475.5,1986.3,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,261.29,148,1094257.564
2/26/1983,5.86170487,1400.5734,98,0.102249489,3876000,8.22,3473.413,2474.362,470.5,1984.3,4.952545117,11.1,6896.561,4.62783567,0.35447,10.4,262.44,149.7,1110393.753
3/5/1983,5.57383847,1409.3735,98.1,0,3797000,8.5,3473.413,2474.362,472.5,1989,3.612260556,10.6,6896.561,4.855813143,0.23015,10.3,265.94,153.7,1088046.342
3/12/1983,5.57383847,1410.1885,98.1,0,3787000,8.4,3473.413,2474.362,486.3,2008.8,3.612260556,10.6,6896.561,4.855813143,0.23015,10.3,266.18,151.2,1085241.32
3/19/1983,5.57383847,1414.1423,98.1,0,3752000,8.7,3473.413,2474.362,484.8,2010.2,3.612260556,10.6,6896.561,4.855813143,0.23015,10.3,265.01,149.9,1075334.096
3/26/1983,5.57383847,1417.0822,98.1,0,3734000,8.76,3473.413,2474.362,482.3,2009.6,3.612260556,10.6,6896.561,4.855813143,0.23015,10.3,270.89,152.7,1070245.174
4/2/1983,5.70012244,1420.6188,98.8,0.715015322,3759000,9.12,3578.848,2494.423,476.3,2006,4.828054152,10.3,7053.5,4.456933531,0.52142,10.2,270.8,153,1077494.708
4/9/1983,5.70012244,1424.6058,98.8,0.715015322,3814000,8.84,3578.848,2494.423,497.5,2033,4.828054152,10.3,7053.5,4.456933531,0.52142,10.2,268.1,152.8,1093107.449
4/16/1983,5.70012244,1423.9546,98.8,0.715015322,3744000,8.73,3578.848,2494.423,504.2,2041.8,4.828054152,10.3,7053.5,4.456933531,0.52142,10.2,281.6,158.8,1073315.304
4/23/1983,5.70012244,1429.2003,98.8,0.715015322,3762000,8.52,3578.848,2494.423,502.8,2037.2,4.828054152,10.3,7053.5,4.456933531,0.52142,10.2,288.55,160.4,1078418.025
4/30/1983,5.70012244,1430.1645,98.8,0.715015322,3722000,8.84,3578.848,2494.423,492.2,2022.9,4.828054152,10.3,7053.5,4.456933531,0.52142,10.2,293.06,164.4,1067080.415
5/7/1983,5.40239353,1431.3104,99.2,0.60851927,3714000,8.45,3578.848,2494.423,489.1,2022,3.767326298,9.9,7053.5,3.549623729,0.22823,10.1,301.64,166.1,1064820.353
5/14/1983,5.40239353,1435.5076,99.2,0.60851927,3625000,8.39,3578.848,2494.423,497,2032.3,3.767326298,9.9,7053.5,3.549623729,0.22823,10.1,302.34,164.9,1039639.933
5/21/1983,5.40239353,1438.5392,99.2,0.60851927,3701000,8.68,3578.848,2494.423,497.4,2034.8,3.767326298,9.9,7053.5,3.549623729,0.22823,10.1,303.56,162.1,1061162.334
5/28/1983,5.40239353,1441.6828,99.2,0.60851927,3457000,8.59,3578.848,2494.423,490.6,2030.6,3.767326298,9.9,7053.5,3.549623729,0.22823,10.1,312.05,164.5,992081.0884
