DATE,10-Year Real Interest Rate,Bank Credit All Commercial Banks,CPI All Urban Consumers,CPI All Items,Continued Claims (Insured Unemployment),Federal Funds Rate,GDP,Households Owners Equity in Real Estate Level,M1,M2,Median CPI,Personal Savings Rate,Real GDP,Sticky Price Consumer Price Index less Food and Energy,Sticky Price Consumer Price Index,Unemployment Rate,NASDAQ Price,S&P 500 Price,Delinquency Rate on Credit Card Loans,Commercial Real Estate Loans
1/1/1991,3.92,2677.94,134.7,0.6,2938000,5.53,6035.18,4660.54,852.4,3291.6,5.56,9.3,9275.28,5.84,0.67,6.4,373.84,330.2,5.26,63.67
1/8/1991,3.92,2664.5,134.7,0.6,3062000,5.94,6035.18,4660.54,862.6,3309.9,5.56,9.3,9275.28,5.84,0.67,6.4,359,314.9,5.26,63.73
1/15/1991,3.92,2668.07,134.7,0.6,3111000,6.89,6035.18,4660.54,840.6,3300.5,5.56,9.3,9275.28,5.84,0.67,6.4,357.3,313.7,5.26,63.81
1/22/1991,3.92,2669.81,134.7,0.6,3017000,7.56,6035.18,4660.54,825.7,3287.4,5.56,9.3,9275.28,5.84,0.67,6.4,379.03,328.3,5.26,64.1
1/29/1991,3.92,2678.64,134.7,0.6,3162000,7.16,6035.18,4660.54,806.9,3266.9,5.56,9.3,9275.28,5.84,0.67,6.4,400.61,335.8,5.26,64.24
2/5/1991,3.91,2671.19,134.8,0.15,3228000,5.49,6035.18,4660.54,823.3,3287.9,4.36,8.8,9275.28,5.88,0.47,6.6,432.2,351.3,5.26,64.4
2/12/1991,3.91,2673.73,134.8,0.15,3226000,6.26,6035.18,4660.54,827.4,3300.8,4.36,8.8,9275.28,5.88,0.47,6.6,443.98,365.5,5.26,64.43
2/19/1991,3.91,2677.86,134.8,0.15,3293000,6.24,6035.18,4660.54,822.8,3296.1,4.36,8.8,9275.28,5.88,0.47,6.6,450.32,369.4,5.26,65.16
2/26/1991,3.91,2684.65,134.8,0.15,3304000,6.12,6035.18,4660.54,812.8,3290,4.36,8.8,9275.28,5.88,0.47,6.6,447.71,362.8,5.26,65.46
3/5/1991,4.18,2686.48,134.8,0.15,3357000,6.31,6035.18,4660.54,830.5,3313.9,3.66,8,9275.28,5.5,0.25,6.8,473.05,376.7,5.26,65.69
3/12/1991,4.18,2689.84,134.8,0.15,3384000,6.03,6035.18,4660.54,836.7,3327.7,3.66,8,9275.28,5.5,0.25,6.8,461.4,370,5.26,65.83
3/19/1991,4.18,2696.95,134.8,0.15,3448000,6.16,6035.18,4660.54,831.4,3327,3.66,8,9275.28,5.5,0.25,6.8,462.81,366.6,5.26,66.05
3/26/1991,4.18,2700.41,134.8,0.15,3404000,6.17,6035.18,4660.54,823.9,3320,3.66,8,9275.28,5.5,0.25,6.8,478.57,376.3,5.26,66.25
4/2/1991,4.11,2700.25,135.1,0.15,3502000,6.46,6126.86,4632.32,842.2,3339.8,3.37,8.6,9347.6,5.3,0.26,6.7,491.2,379.5,5.48,66.42
4/9/1991,4.11,2699.89,135.1,0.15,3493000,5.66,6126.86,4632.32,860.5,3367.9,3.37,8.6,9347.6,5.3,0.26,6.7,492.46,373.6,5.48,66.56
4/16/1991,4.11,2697.15,135.1,0.15,3464000,6.05,6126.86,4632.32,864.4,3371,3.37,8.6,9347.6,5.3,0.26,6.7,506.75,387.6,5.48,66.72
4/23/1991,4.11,2697.04,135.1,0.15,3502000,5.92,6126.86,4632.32,853.8,3347.4,3.37,8.6,9347.6,5.3,0.26,6.7,496.08,381.8,5.48,66.91
4/30/1991,4.11,2699.85,135.1,0.15,3474000,5.98,6126.86,4632.32,829.8,3313.8,3.37,8.6,9347.6,5.3,0.26,6.7,484.72,375.4,5.48,66.74
5/7/1991,4.05,2705.14,135.6,0.3,3524000,5.79,6126.86,4632.32,847.1,3333.3,4.47,8.4,9347.6,5.25,0.32,6.9,491.51,377.3,5.48,66.87
5/14/1991,4.05,2698.46,135.6,0.3,3492000,5.85,6126.86,4632.32,843.7,3335.1,4.47,8.4,9347.6,5.25,0.32,6.9,488.79,371.6,5.48,67
5/21/1991,4.05,2702.63,135.6,0.3,3459000,5.76,6126.86,4632.32,841.4,3332.1,4.47,8.4,9347.6,5.25,0.32,6.9,483.6,375.4,5.48,67.16
